名字,评分,户型,出租类型,可住,价格,图片地址,城市
全景落地窗投影仪大床房/直达东客站/近东郊记忆/建设路小吃街/春熙路太古里商圈,"
                                        4.9
                                    ",1室,整租,宜住2人,￥128,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【风笙】全景拍照打卡/玻璃吊球网红民宿/270℃大飘窗观景/俯瞰成都楼下太古里,"
                                        4.8
                                    ",2室,整租,宜住4人,￥350,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
【故知-橘夏】小红书推荐|背靠春熙路太古里|投影两居|大落地窗夜景房|楼下美食城,"
                                        4.9
                                    ",2室,整租,宜住4人,￥308,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
春熙路地铁口日式榻榻米一室带厨房独立卫生间！可免费做饭！,"
                                        4.9
                                    ",1室,整租,宜住2人,￥100,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
『樱花』（巨幕投影）春熙路太古里/宽窄巷子/文殊院地铁口一居,"
                                        4.8
                                    ",1室,整租,宜住2人,￥185,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
『粉黛』春熙路太古里/文殊院LOFT精品大床房（投影电视随机）,"
                                        4.8
                                    ",1室,整租,宜住2人,￥198,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
纱幔浴缸洞穴/成都东站【丛林艺术树洞】 投影/双地铁直达春熙路太古里/近宽窄巷子,"
                                        5.0
                                    ",1室,整租,宜住2人,￥210,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
实木席梦思大床春熙路北欧房,"
                                        4.7
                                    ",1室,整租,宜住2人,￥108,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
长租No3【假面游戏】萌粉色顽趣游戏屋，复古游戏机/搞怪头套-步行到春熙路太古里,"
                                        4.9
                                    ",2室,整租,宜住4人,￥308,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
＜夏室mint＞睡在宇宙中心的雨林里/南洋复古奶油风套二/俯瞰太古里春熙路/投影,"
                                        5.0
                                    ",2室,整租,宜住4人,￥558,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
<夏室W8dland>寻找城市的林地/高空诧寂/浴缸观日出339/太古里春熙路/极米投影/马歇尔音响,"
                                        5.0
                                    ",2室,整租,宜住4人,￥588,//assets.muniao.com/assets2/pc/Content/images/lazyload.png,chengdu
